30;34;1
31;35;1
32;36;1
33;37;1
34;38;1
35;39;1
36;40;1
37;41;1
38;42;1
39;43;1
40;44;1
41;45;1
42;46;1
43;47;1
44;48;1
45;49;1
46;50;1
47;2;2
48;3;2
49;4;2
50;5;2
51;6;2
52;7;2
53;8;2
54;9;2
55;10;2
56;11;2
57;12;2
58;16;2
59;17;2
60;18;2
61;19;2
62;20;2
63;21;2
64;22;2
65;23;2
66;24;2
67;25;2
68;26;2
69;27;2
70;28;2
71;29;2
72;30;2
73;31;2
74;32;2
75;33;2
76;34;2
77;35;2
78;36;2
79;37;2
80;38;2
81;39;2
82;40;2
83;41;2
84;42;2
85;43;2
86;44;2
87;45;2
88;46;2
89;47;2
90;48;2
91;49;2
92;50;2
93;2;3
94;3;3
95;4;3
96;5;3
97;6;3
98;7;3
99;8;3
100;9;3
101;10;3
102;11;3
103;12;3
104;16;3
105;17;3
106;18;3
107;19;3
108;20;3
109;21;3
110;22;3
111;23;3
112;24;3
113;25;3
114;26;3
115;27;3
116;28;3
117;29;3
118;30;3
119;31;3
120;32;3
121;33;3
122;34;3
123;35;3
124;36;3
125;37;3
126;38;3
127;39;3
128;40;3
129;41;3
130;42;3
131;43;3
132;44;3
133;45;3
134;46;3
135;2;4
136;3;4
137;4;4
138;5;4
139;6;4
140;7;4
141;8;4
142;9;4
143;10;4
144;11;4
145;12;4
146;16;4
147;17;4
148;18;4
149;19;4
150;20;4
151;21;4
152;22;4
153;23;4
154;24;4
155;25;4
156;26;4
157;27;4
158;28;4
159;29;4
160;30;4
161;31;4
162;32;4
163;33;4
164;34;4
165;35;4
166;36;4
167;37;4
168;38;4
169;39;4
170;40;4
171;41;4
172;42;4
